hgnc_id	gene_symbol	ndd_ad_classes	ndd_ar_classes	ndd_adar_classes	ndd_all_classes
HGNC:5	A1BG	negative	negative	negative	negative
HGNC:24086	A1CF	negative	negative	negative	negative
HGNC:7	A2M	negative	negative	negative	negative
HGNC:23336	A2ML1	uknown	uknown	uknown	uknown
HGNC:30005	A3GALT2	negative	negative	negative	negative
HGNC:18149	A4GALT	negative	negative	negative	negative
HGNC:17968	A4GNT	negative	negative	negative	negative
HGNC:13666	AAAS	-	positive	positive	positive
HGNC:21298	AACS	negative	negative	negative	negative
HGNC:17	AADAC	negative	negative	negative	negative
HGNC:24427	AADACL2	negative	negative	negative	negative
HGNC:32037	AADACL3	negative	negative	negative	negative
HGNC:32038	AADACL4	negative	negative	negative	negative
HGNC:17929	AADAT	negative	negative	negative	negative
HGNC:25662	AAGAB	uknown	uknown	uknown	uknown
HGNC:19679	AAK1	negative	negative	negative	negative
HGNC:30205	AAMDC	negative	negative	negative	negative
HGNC:18	AAMP	negative	negative	negative	negative
HGNC:19	AANAT	negative	negative	negative	negative
HGNC:15886	AAR2	negative	negative	negative	negative
HGNC:33842	AARD	negative	negative	negative	negative
HGNC:20	AARS1	-	positive	positive	positive
HGNC:21022	AARS2	uknown	uknown	uknown	uknown
HGNC:28417	AARSD1	negative	negative	negative	negative
HGNC:23993	AASDH	negative	negative	negative	negative
HGNC:14235	AASDHPPT	negative	negative	negative	negative
HGNC:17366	AASS	-	positive	positive	positive
HGNC:19235	AATF	negative	negative	negative	negative
HGNC:21	AATK	negative	negative	negative	negative
HGNC:23	ABAT	-	positive	positive	positive
HGNC:29	ABCA1	uknown	uknown	uknown	uknown
HGNC:32	ABCA2	-	positive	positive	positive
HGNC:33	ABCA3	uknown	uknown	uknown	uknown
HGNC:34	ABCA4	uknown	uknown	uknown	uknown
HGNC:35	ABCA5	negative	negative	negative	negative
HGNC:36	ABCA6	negative	negative	negative	negative
HGNC:37	ABCA7	uknown	uknown	uknown	uknown
HGNC:38	ABCA8	negative	negative	negative	negative
HGNC:39	ABCA9	negative	negative	negative	negative
HGNC:30	ABCA10	uknown	uknown	uknown	uknown
HGNC:14637	ABCA12	uknown	uknown	uknown	uknown
HGNC:14638	ABCA13	uknown	uknown	uknown	uknown
HGNC:40	ABCB1	uknown	uknown	uknown	uknown
HGNC:45	ABCB4	uknown	uknown	uknown	uknown
HGNC:46	ABCB5	negative	negative	negative	negative
HGNC:47	ABCB6	uknown	uknown	uknown	uknown
HGNC:48	ABCB7	uknown	uknown	uknown	uknown
HGNC:49	ABCB8	negative	negative	negative	negative
HGNC:50	ABCB9	negative	negative	negative	negative
HGNC:41	ABCB10	negative	negative	negative	negative
HGNC:42	ABCB11	uknown	uknown	uknown	uknown
HGNC:51	ABCC1	uknown	uknown	uknown	uknown
HGNC:53	ABCC2	uknown	uknown	uknown	uknown
HGNC:54	ABCC3	negative	negative	negative	negative
HGNC:55	ABCC4	negative	negative	negative	negative
HGNC:56	ABCC5	negative	negative	negative	negative
HGNC:57	ABCC6	uknown	uknown	uknown	uknown
HGNC:59	ABCC8	uknown	uknown	uknown	uknown
HGNC:60	ABCC9	positive	-	positive	positive
